Episode,sum_rewwards,loss,entropy,paso_episodio,c_exploracion,p_exploracion,c_explotacion,p_explotacion,duration
0.0,13.0,0.0,0.0,13.0,12.0,0.9230769230769231,1.0,0.07692307692307693,13.0
1.0,16.0,0.0,0.0,16.0,15.0,0.9375,1.0,0.0625,16.0
2.0,19.0,9.916498243808746,3.8712010109078947,19.0,18.0,0.9473684210526315,1.0,0.05263157894736842,19.0
3.0,10.0,5.663265347480774,4.0604430105464155,10.0,5.0,0.5,5.0,0.5,10.0
4.0,18.0,9.929073601961136,4.330733340286325,18.0,12.0,0.6666666666666666,6.0,0.3333333333333333,18.0
5.0,10.0,5.225513786077499,4.454347296253501,10.0,7.0,0.7,3.0,0.3,10.0
6.0,17.0,8.66318154335022,4.6347289882296305,17.0,14.0,0.8235294117647058,3.0,0.17647058823529413,17.0
7.0,14.0,7.103706955909729,4.762173934797755,14.0,11.0,0.7857142857142857,3.0,0.21428571428571427,14.0
8.0,17.0,8.15603843331337,4.89783979995091,17.0,12.0,0.7058823529411765,5.0,0.29411764705882354,17.0
9.0,10.0,4.792862355709076,4.969813299576,10.0,9.0,0.9,1.0,0.1,10.0
10.0,10.0,4.560607999563217,5.036952602413614,10.0,6.0,0.6,4.0,0.4,10.0
11.0,23.0,10.386524111032486,5.176149732573821,23.0,18.0,0.782608695652174,5.0,0.21739130434782608,23.0
12.0,28.0,12.20132040977478,5.323009979138406,28.0,23.0,0.8214285714285714,5.0,0.17857142857142858,28.0
13.0,27.0,11.39574882388115,5.446737371666291,27.0,20.0,0.7407407407407407,7.0,0.25925925925925924,27.0
14.0,24.0,9.806505113840103,5.545177444479573,24.0,16.0,0.6666666666666666,8.0,0.3333333333333333,24.0
15.0,12.0,4.7472511529922485,5.5909869805108565,12.0,9.0,0.75,3.0,0.25,12.0
16.0,59.0,21.815422266721725,5.789960170897211,59.0,43.0,0.7288135593220338,16.0,0.2711864406779661,59.0
17.0,10.0,3.4299654960632324,5.820082930352401,10.0,8.0,0.8,2.0,0.2,10.0
18.0,13.0,4.272042751312256,5.8579331544834545,13.0,10.0,0.7692307692307693,3.0,0.23076923076923078,13.0
19.0,22.0,7.111021995544434,5.918893854273183,22.0,18.0,0.8181818181818182,4.0,0.18181818181818182,22.0
20.0,38.0,11.322021007537842,6.016157159698395,38.0,26.0,0.6842105263157895,12.0,0.3157894736842105,38.0
21.0,11.0,2.898835450410843,6.042632833682406,11.0,5.0,0.45454545454545453,6.0,0.5454545454545454,11.0
22.0,10.0,2.483006849884987,6.066108090103721,10.0,5.0,0.5,5.0,0.5,10.0
23.0,13.0,3.242685317993164,6.095824562432246,13.0,9.0,0.6923076923076923,4.0,0.3076923076923077,13.0
24.0,11.0,2.8283940106630325,6.12029741895092,11.0,6.0,0.5454545454545454,5.0,0.45454545454545453,11.0
25.0,26.0,5.9844673573970795,6.17586727010573,26.0,16.0,0.6153846153846154,10.0,0.38461538461538464,26.0
26.0,12.0,2.694437101483345,6.200509174042734,12.0,7.0,0.5833333333333334,5.0,0.4166666666666667,12.0
27.0,9.0,1.9794246852397919,6.218600119691808,9.0,4.0,0.4444444444444444,5.0,0.5555555555555556,9.0
28.0,11.0,2.3824857473373413,6.240275845170722,11.0,7.0,0.6363636363636364,4.0,0.36363636363636365,11.0
29.0,15.0,3.2565798163414,6.269096283706185,15.0,7.0,0.4666666666666667,8.0,0.5333333333333333,15.0
30.0,14.0,2.94904462993145,6.295266001439592,14.0,9.0,0.6428571428571429,5.0,0.35714285714285715,14.0
31.0,10.0,1.8434906601905823,6.31354804627704,10.0,6.0,0.6,4.0,0.4,10.0
32.0,13.0,2.4991483241319656,6.336825731146386,13.0,5.0,0.38461538461538464,8.0,0.6153846153846154,13.0
33.0,16.0,3.1363797038793564,6.364750756851843,16.0,6.0,0.375,10.0,0.625,16.0
34.0,12.0,2.4067559242248535,6.385194398997812,12.0,5.0,0.4166666666666667,7.0,0.5833333333333334,12.0
35.0,9.0,1.7529980689287186,6.400257445308831,9.0,3.0,0.3333333333333333,6.0,0.6666666666666666,9.0
36.0,12.0,2.25338451564312,6.419994928147079,12.0,6.0,0.5,6.0,0.5,12.0
37.0,29.0,5.485582679510117,6.4661447242375765,29.0,18.0,0.6206896551724138,11.0,0.3793103448275862,29.0
38.0,12.0,2.291564702987671,6.484635235635266,12.0,9.0,0.75,3.0,0.25,12.0
39.0,13.0,2.568797931075096,6.5042881735366755,13.0,8.0,0.6153846153846154,5.0,0.38461538461538464,13.0
40.0,15.0,2.9041079580783844,6.526494859570731,15.0,10.0,0.6666666666666666,5.0,0.3333333333333333,15.0
41.0,9.0,1.6619916558265686,6.539585955617649,9.0,1.0,0.1111111111111111,8.0,0.8888888888888888,9.0
42.0,13.0,2.376477137207985,6.558197802812301,13.0,6.0,0.46153846153846156,7.0,0.5384615384615384,13.0
43.0,15.0,3.106775686144829,6.579251212010201,15.0,10.0,0.6666666666666666,5.0,0.3333333333333333,15.0
44.0,19.0,3.699635833501816,6.605297920948106,19.0,12.0,0.631578947368421,7.0,0.3684210526315789,19.0
45.0,14.0,2.7916653007268906,6.624065227799842,14.0,9.0,0.6428571428571429,5.0,0.35714285714285715,14.0
46.0,9.0,1.7488027960062027,6.635946555686599,9.0,3.0,0.3333333333333333,6.0,0.6666666666666666,9.0
47.0,15.0,3.0948950052261353,6.6554403503677255,15.0,5.0,0.3333333333333333,10.0,0.6666666666666666,15.0
48.0,8.0,1.6408766508102417,6.665683717782347,8.0,3.0,0.375,5.0,0.625,8.0
49.0,10.0,1.7627989202737808,6.678342114654244,10.0,4.0,0.4,6.0,0.6,10.0
50.0,9.0,1.4605096355080605,6.689599269178834,9.0,4.0,0.4444444444444444,5.0,0.5555555555555556,9.0
51.0,13.0,2.821260303258896,6.705639094860042,13.0,4.0,0.3076923076923077,9.0,0.6923076923076923,13.0
52.0,14.0,2.4380813986063004,6.722629794855334,14.0,6.0,0.42857142857142855,8.0,0.5714285714285714,14.0
