Episode,sum_rewwards,loss,entropy,paso_episodio,c_exploracion,p_exploracion,c_explotacion,p_explotacion,duration
0.0,20.0,0.0,0.0,20.0,20.0,1.0,0.0,0.0,20.0
1.0,37.0,0.0,0.0,37.0,31.0,0.8378378378378378,6.0,0.16216216216216217,37.0
2.0,25.0,0.0,0.0,25.0,20.0,0.8,5.0,0.2,25.0
3.0,17.0,0.0,0.0,17.0,13.0,0.7647058823529411,4.0,0.23529411764705882,17.0
4.0,13.0,0.0,0.0,13.0,11.0,0.8461538461538461,2.0,0.15384615384615385,13.0
5.0,23.0,4.433303236961365,4.9052747784384385,23.0,19.0,0.8260869565217391,4.0,0.17391304347826086,23.0
6.0,11.0,5.592343181371689,4.983606621708339,11.0,4.0,0.36363636363636365,7.0,0.6363636363636364,11.0
7.0,29.0,12.301432937383652,5.1647859739235145,29.0,24.0,0.8275862068965517,5.0,0.1724137931034483,29.0
8.0,11.0,3.870791018009186,5.225746673713214,11.0,11.0,1.0,0.0,0.0,11.0
9.0,15.0,4.485936671495438,5.303304908059064,15.0,10.0,0.6666666666666666,5.0,0.3333333333333333,15.0
10.0,11.0,2.7060414999723434,5.35658627467202,11.0,9.0,0.8181818181818182,2.0,0.18181818181818182,11.0
11.0,42.0,6.94243136793375,5.5373342670185215,42.0,29.0,0.6904761904761905,13.0,0.30952380952380953,42.0
12.0,12.0,1.240597479045391,5.583496308781706,12.0,10.0,0.8333333333333334,2.0,0.16666666666666666,12.0
13.0,12.0,1.0157785937190056,5.627621113690662,12.0,9.0,0.75,3.0,0.25,12.0
14.0,21.0,1.4599758088588715,5.700443573390681,21.0,16.0,0.7619047619047619,5.0,0.23809523809523808,21.0
15.0,11.0,0.6447550095617771,5.736572297479205,11.0,6.0,0.5454545454545454,5.0,0.45454545454545453,11.0
16.0,13.0,0.7192811034619808,5.777652323222633,13.0,10.0,0.7692307692307693,3.0,0.23076923076923078,13.0
17.0,15.0,0.7890354879200459,5.823045895482969,15.0,13.0,0.8666666666666667,2.0,0.13333333333333333,15.0
18.0,12.0,0.5743754468858242,5.8579331544834545,12.0,6.0,0.5,6.0,0.5,12.0
19.0,39.0,1.915822796523571,5.963579343618431,39.0,24.0,0.6153846153846154,15.0,0.38461538461538464,39.0
20.0,9.0,0.4998551085591316,5.986452005284452,9.0,5.0,0.5555555555555556,4.0,0.4444444444444444,9.0
21.0,12.0,0.5692577511072159,6.016157159698395,12.0,4.0,0.3333333333333333,8.0,0.6666666666666666,12.0
22.0,22.0,1.094538252800703,6.068425588244084,22.0,10.0,0.45454545454545453,12.0,0.5454545454545454,22.0
23.0,17.0,0.9132094718515873,6.107022887742277,17.0,14.0,0.8235294117647058,3.0,0.17647058823529413,17.0
24.0,19.0,0.9716134443879128,6.148468295917587,19.0,12.0,0.631578947368421,7.0,0.3684210526315789,19.0
25.0,19.0,0.9732983391731977,6.188264123082554,19.0,11.0,0.5789473684210527,8.0,0.42105263157894735,19.0
26.0,11.0,0.6084004305303097,6.210600077024689,11.0,7.0,0.6363636363636364,4.0,0.36363636363636365,11.0
27.0,11.0,0.5562167428433895,6.232448016550598,11.0,4.0,0.36363636363636365,7.0,0.6363636363636364,11.0
28.0,13.0,0.6554814167320728,6.2576675878827,13.0,6.0,0.46153846153846156,7.0,0.5384615384615384,13.0
29.0,10.0,0.5977846570312977,6.276643489341609,10.0,5.0,0.5,5.0,0.5,10.0
30.0,16.0,0.9780406951904297,6.306275286947964,16.0,11.0,0.6875,5.0,0.3125,16.0
31.0,16.0,1.0511602349579334,6.335054251498089,16.0,10.0,0.625,6.0,0.375,16.0
32.0,10.0,0.5552207268774509,6.352629396319582,10.0,9.0,0.9,1.0,0.1,10.0
33.0,13.0,0.76539371535182,6.375024819828036,13.0,9.0,0.6923076923076923,4.0,0.3076923076923077,13.0
34.0,15.0,1.0418904535472393,6.400257445308831,15.0,7.0,0.4666666666666667,8.0,0.5333333333333333,15.0
35.0,12.0,0.8591361902654171,6.419994928147079,12.0,4.0,0.3333333333333333,8.0,0.6666666666666666,12.0
36.0,14.0,0.9528243243694305,6.4425401664682935,14.0,7.0,0.5,7.0,0.5,14.0
37.0,15.0,1.2924567572772503,6.4661447242375765,15.0,8.0,0.5333333333333333,7.0,0.4666666666666667,15.0
38.0,11.0,0.7966469116508961,6.483107351457246,11.0,8.0,0.7272727272727273,3.0,0.2727272727272727,11.0
39.0,15.0,1.152196440845728,6.505784060128273,15.0,9.0,0.6,6.0,0.4,15.0
40.0,10.0,0.8790095299482346,6.520621127558641,10.0,5.0,0.5,5.0,0.5,10.0
41.0,20.0,1.7888355776667595,6.549650742233875,20.0,10.0,0.5,10.0,0.5,20.0
42.0,11.0,0.8933820053935051,6.565264970035305,11.0,6.0,0.5454545454545454,5.0,0.45454545454545453,11.0
43.0,9.0,0.7416903395205736,6.577861357721137,9.0,3.0,0.3333333333333333,6.0,0.6666666666666666,9.0
44.0,21.0,1.9534314759075642,6.60665018619833,21.0,16.0,0.7619047619047619,5.0,0.23809523809523808,21.0
45.0,13.0,1.3988584131002426,6.624065227799842,13.0,6.0,0.46153846153846156,7.0,0.5384615384615384,13.0
46.0,10.0,1.0596101060509682,6.637258031284536,10.0,2.0,0.2,8.0,0.8,10.0
47.0,10.0,0.9623071327805519,6.650279048587374,10.0,6.0,0.6,4.0,0.4,10.0
48.0,10.0,0.9287133887410164,6.663132695990737,10.0,3.0,0.3,7.0,0.7,10.0
49.0,8.0,0.8092250153422356,6.673297967767721,8.0,1.0,0.125,7.0,0.875,8.0
50.0,10.0,1.051113024353981,6.6858609470684325,10.0,5.0,0.5,5.0,0.5,10.0
51.0,16.0,1.8600204065442085,6.705639094860042,16.0,6.0,0.375,10.0,0.625,16.0
52.0,11.0,1.3076326698064804,6.719013154385371,11.0,5.0,0.45454545454545453,6.0,0.5454545454545454,11.0
53.0,9.0,0.9242010079324245,6.729824070489484,9.0,3.0,0.3333333333333333,6.0,0.6666666666666666,9.0
54.0,8.0,1.010077878832817,6.739336627357061,8.0,2.0,0.25,6.0,0.75,8.0
55.0,12.0,1.3076508268713951,6.753437918597758,12.0,7.0,0.5833333333333334,5.0,0.4166666666666667,12.0
56.0,14.0,1.8895510882139206,6.7696419768524425,14.0,7.0,0.5,7.0,0.5,14.0
57.0,10.0,1.3946968019008636,6.78105762593615,10.0,4.0,0.4,6.0,0.6,10.0
58.0,11.0,1.6288567185401917,6.793466132580145,11.0,3.0,0.2727272727272727,8.0,0.7272727272727273,11.0
