Episode,sum_rewwards,loss,entropy,paso_episodio,c_exploracion,p_exploracion,c_explotacion,p_explotacion,duration
0.0,17.0,0.0,0.0,17.0,15.0,0.8823529411764706,2.0,0.11764705882352941,17.0
1.0,14.0,0.0,0.0,14.0,12.0,0.8571428571428571,2.0,0.14285714285714285,14.0
2.0,22.0,14.509021043777466,3.9702919135521206,22.0,20.0,0.9090909090909091,2.0,0.09090909090909091,22.0
3.0,15.0,9.721977055072784,4.219507705176109,15.0,12.0,0.8,3.0,0.2,15.0
4.0,20.0,12.484046399593353,4.477336814478207,20.0,19.0,0.95,1.0,0.05,20.0
5.0,46.0,27.360252916812897,4.897839799950912,46.0,37.0,0.8043478260869565,9.0,0.1956521739130435,46.0
6.0,24.0,13.80735868215561,5.062595033026966,24.0,20.0,0.8333333333333334,4.0,0.16666666666666666,24.0
7.0,57.0,31.102701425552368,5.370638028127663,57.0,45.0,0.7894736842105263,12.0,0.21052631578947367,57.0
8.0,21.0,10.392985254526138,5.4638318050256105,21.0,15.0,0.7142857142857143,6.0,0.2857142857142857,21.0
9.0,23.0,11.161475270986557,5.556828061699537,23.0,20.0,0.8695652173913043,3.0,0.13043478260869565,23.0
10.0,16.0,7.7781259417533875,5.616771097666572,16.0,11.0,0.6875,5.0,0.3125,16.0
11.0,21.0,9.960365444421768,5.690359454324061,21.0,14.0,0.6666666666666666,7.0,0.3333333333333333,21.0
12.0,12.0,5.34616419672966,5.730099782973575,12.0,9.0,0.75,3.0,0.25,12.0
13.0,12.0,5.023960769176483,5.768320995793772,12.0,6.0,0.5,6.0,0.5,12.0
14.0,29.0,12.046485602855682,5.855071922202427,29.0,24.0,0.8275862068965517,5.0,0.1724137931034483,29.0
15.0,11.0,4.495354861021042,5.886104031450156,11.0,5.0,0.45454545454545453,6.0,0.5454545454545454,11.0
16.0,8.0,3.3309381306171417,5.908082938168932,8.0,3.0,0.375,5.0,0.625,8.0
17.0,15.0,5.433437198400497,5.948034989180645,15.0,6.0,0.4,9.0,0.6,15.0
18.0,14.0,4.986183345317841,5.983936280687189,14.0,10.0,0.7142857142857143,4.0,0.2857142857142857,14.0
19.0,13.0,4.729151874780655,6.016157159698354,13.0,4.0,0.3076923076923077,9.0,0.6923076923076923,13.0
20.0,14.0,4.803046226501465,6.049733455231955,14.0,8.0,0.5714285714285714,6.0,0.42857142857142855,14.0
21.0,17.0,5.375033229589462,6.089044875446847,17.0,13.0,0.7647058823529411,4.0,0.23529411764705882,17.0
22.0,14.0,4.423909664154053,6.12029741895095,14.0,10.0,0.7142857142857143,4.0,0.2857142857142857,14.0
23.0,17.0,5.200009346008301,6.156978985585553,17.0,8.0,0.47058823529411764,9.0,0.5294117647058824,17.0
24.0,13.0,3.819361388683319,6.184148890937484,13.0,4.0,0.3076923076923077,9.0,0.6923076923076923,13.0
25.0,16.0,4.609740063548088,6.216606101084863,16.0,10.0,0.625,6.0,0.375,16.0
26.0,26.0,7.062865182757378,6.2672005485413615,26.0,17.0,0.6538461538461539,9.0,0.34615384615384615,26.0
27.0,28.0,7.018115609884262,6.318968113746434,28.0,15.0,0.5357142857142857,13.0,0.4642857142857143,28.0
28.0,12.0,2.8966915607452393,6.340359303727751,12.0,5.0,0.4166666666666667,7.0,0.5833333333333334,12.0
29.0,13.0,3.100858524441719,6.363028103540465,13.0,6.0,0.46153846153846156,7.0,0.5384615384615384,13.0
30.0,8.0,1.7384440153837204,6.376726947898629,8.0,2.0,0.25,6.0,0.75,8.0
31.0,14.0,2.821765959262848,6.400257445308823,14.0,7.0,0.5,7.0,0.5,14.0
32.0,12.0,2.405894711613655,6.419994928147143,12.0,3.0,0.25,9.0,0.75,12.0
33.0,24.0,4.848784163594246,6.45833828334479,24.0,14.0,0.5833333333333334,10.0,0.4166666666666667,24.0
34.0,17.0,3.2909936159849167,6.484635235635253,17.0,8.0,0.47058823529411764,9.0,0.5294117647058824,17.0
35.0,11.0,2.181668296456337,6.501289670540389,11.0,7.0,0.6363636363636364,4.0,0.36363636363636365,11.0
36.0,29.0,5.326548397541046,6.543911845564794,29.0,16.0,0.5517241379310345,13.0,0.4482758620689655,29.0
37.0,12.0,2.3595645129680634,6.561030665896572,12.0,6.0,0.5,6.0,0.5,12.0
38.0,9.0,1.763507753610611,6.573680166960646,9.0,2.0,0.2222222222222222,7.0,0.7777777777777778,9.0
39.0,10.0,1.698364496231079,6.587550014824796,10.0,4.0,0.4,6.0,0.6,10.0
40.0,10.0,1.6574448272585869,6.601230118728875,10.0,2.0,0.2,8.0,0.8,10.0
41.0,15.0,2.510716423392296,6.621405651764135,15.0,8.0,0.5333333333333333,7.0,0.4666666666666667,15.0
42.0,11.0,2.1012575030326843,6.635946555686646,11.0,3.0,0.2727272727272727,8.0,0.7272727272727273,11.0
43.0,11.0,1.9581793993711472,6.6502790485874215,11.0,2.0,0.18181818181818182,9.0,0.8181818181818182,11.0
44.0,12.0,2.5381891280412674,6.665683717782406,12.0,5.0,0.4166666666666667,7.0,0.5833333333333334,12.0
