Episode,sum_rewwards,loss,entropy,paso_episodio,c_exploracion,p_exploracion,c_explotacion,p_explotacion,duration
0.0,13.0,3.9844815135002136,2.5649493574615376,13.0,10.0,0.7692307692307693,3.0,0.23076923076923078,13.0
1.0,12.0,7.198851406574249,3.2188758248681983,12.0,11.0,0.9166666666666666,1.0,0.08333333333333333,12.0
2.0,14.0,9.084275245666504,3.6635616461296423,14.0,13.0,0.9285714285714286,1.0,0.07142857142857142,14.0
3.0,16.0,10.79609090089798,4.007333185232473,16.0,16.0,1.0,0.0,0.0,16.0
4.0,17.0,11.264012277126312,4.2766661190160535,17.0,14.0,0.8235294117647058,3.0,0.17647058823529413,17.0
5.0,13.0,8.247496128082275,4.4426512564903184,13.0,10.0,0.7692307692307693,3.0,0.23076923076923078,13.0
6.0,17.0,11.713977038860321,4.624972813284264,17.0,13.0,0.7647058823529411,4.0,0.23529411764705882,17.0
7.0,32.0,21.658461034297943,4.89783979995091,32.0,26.0,0.8125,6.0,0.1875,32.0
8.0,10.0,6.06883630156517,4.969813299576,10.0,8.0,0.8,2.0,0.2,10.0
9.0,12.0,7.79688686132431,5.0498560072495495,12.0,12.0,1.0,0.0,0.0,12.0
10.0,32.0,20.8037326335907,5.236441962829952,32.0,22.0,0.6875,10.0,0.3125,32.0
11.0,16.0,10.234511137008667,5.318119993844188,16.0,9.0,0.5625,7.0,0.4375,16.0
12.0,15.0,9.507292926311493,5.389071729816512,15.0,10.0,0.6666666666666666,5.0,0.3333333333333333,15.0
13.0,29.0,18.427663683891296,5.513428746164977,29.0,18.0,0.6206896551724138,11.0,0.3793103448275862,29.0
14.0,21.0,13.22485238313675,5.594711379601826,21.0,16.0,0.7619047619047619,5.0,0.23809523809523808,21.0
15.0,11.0,6.702304363250732,5.634789603169247,11.0,9.0,0.8181818181818182,2.0,0.18181818181818182,11.0
16.0,15.0,9.468805372714996,5.686975356339813,15.0,11.0,0.7333333333333333,4.0,0.26666666666666666,15.0
17.0,26.0,16.029571771621704,5.771441123130016,26.0,16.0,0.6153846153846154,10.0,0.38461538461538464,26.0
18.0,9.0,5.610155671834946,5.7990926544605,9.0,6.0,0.6666666666666666,3.0,0.3333333333333333,9.0
19.0,9.0,5.683813273906708,5.826000107380467,9.0,6.0,0.6666666666666666,3.0,0.3333333333333333,9.0
