Episode,sum_rewwards,loss,entropy,paso_episodio,c_exploracion,p_exploracion,c_explotacion,p_explotacion,duration
0.0,18.0,1.7455820441246033,2.890371757896165,18.0,15.0,0.8333333333333334,3.0,0.16666666666666666,18.0
1.0,38.0,22.266736149787903,4.025351690735147,38.0,31.0,0.8157894736842105,7.0,0.18421052631578946,38.0
2.0,24.0,12.788918823003769,4.382026634673871,24.0,17.0,0.7083333333333334,7.0,0.2916666666666667,24.0
3.0,13.0,6.553560495376587,4.532599493153259,13.0,11.0,0.8461538461538461,2.0,0.15384615384615385,13.0
4.0,23.0,11.373421728610992,4.753590191106362,23.0,23.0,1.0,0.0,0.0,23.0
5.0,12.0,5.829632580280304,4.852030263919617,12.0,11.0,0.9166666666666666,1.0,0.08333333333333333,12.0
6.0,26.0,12.688195526599884,5.036952602413614,26.0,25.0,0.9615384615384616,1.0,0.038461538461538464,26.0
7.0,14.0,7.044560790061951,5.123963979403254,14.0,10.0,0.7142857142857143,4.0,0.2857142857142857,14.0
8.0,15.0,7.214768022298813,5.209486152841407,15.0,13.0,0.8666666666666667,2.0,0.13333333333333333,15.0
9.0,11.0,5.136971354484558,5.267858159063333,11.0,8.0,0.7272727272727273,3.0,0.2727272727272727,11.0
10.0,23.0,10.707036763429642,5.379897353540455,23.0,18.0,0.782608695652174,5.0,0.21739130434782608,23.0
11.0,20.0,9.217262834310532,5.468060141135116,20.0,12.0,0.6,8.0,0.4,20.0
12.0,13.0,5.825964510440826,5.521460917862225,13.0,9.0,0.6923076923076923,4.0,0.3076923076923077,13.0
13.0,27.0,12.069698005914688,5.624017506187323,27.0,17.0,0.6296296296296297,10.0,0.37037037037037035,27.0
14.0,22.0,9.651234447956085,5.700443573390681,22.0,17.0,0.7727272727272727,5.0,0.22727272727272727,22.0
15.0,25.0,10.921442657709122,5.7807435157923335,25.0,13.0,0.52,12.0,0.48,25.0
16.0,23.0,9.908453553915024,5.849324779946833,23.0,15.0,0.6521739130434783,8.0,0.34782608695652173,23.0
17.0,18.0,7.679563224315643,5.899897353582477,18.0,7.0,0.3888888888888889,11.0,0.6111111111111112,18.0
18.0,45.0,19.26566144824028,6.016157159698395,45.0,31.0,0.6888888888888889,14.0,0.3111111111111111,45.0
19.0,13.0,5.269725799560547,6.047372179046327,13.0,4.0,0.3076923076923077,9.0,0.6923076923076923,13.0
20.0,19.0,7.871233016252518,6.091309882077675,19.0,10.0,0.5263157894736842,9.0,0.47368421052631576,19.0
21.0,16.0,6.576081335544586,6.1268691841141765,16.0,8.0,0.5,8.0,0.5,16.0
22.0,26.0,10.437659323215485,6.182084906716645,26.0,20.0,0.7692307692307693,6.0,0.23076923076923078,26.0
23.0,28.0,11.315757989883423,6.2383246250395565,28.0,16.0,0.5714285714285714,12.0,0.42857142857142855,28.0
24.0,28.0,10.945300877094269,6.2915691395582405,28.0,15.0,0.5357142857142857,13.0,0.4642857142857143,28.0
25.0,32.0,12.456671178340912,6.3491389913797365,32.0,22.0,0.6875,10.0,0.3125,32.0
26.0,21.0,7.900182902812958,6.385194398997812,21.0,9.0,0.42857142857142855,12.0,0.5714285714285714,21.0
27.0,23.0,8.724883735179901,6.4232469635335425,23.0,8.0,0.34782608695652173,15.0,0.6521739130434783,23.0
28.0,13.0,4.8210674822330475,6.444131256700392,13.0,8.0,0.6153846153846154,5.0,0.38461538461538464,13.0
29.0,26.0,9.663521558046341,6.484635235635266,26.0,12.0,0.46153846153846156,14.0,0.5384615384615384,26.0
30.0,22.0,8.058043003082275,6.517671272912301,22.0,11.0,0.5,11.0,0.5,22.0
31.0,29.0,10.29765522480011,6.559615237493259,29.0,11.0,0.3793103448275862,18.0,0.6206896551724138,29.0
32.0,16.0,5.668955892324448,6.582025138892802,16.0,6.0,0.375,10.0,0.625,16.0
33.0,25.0,8.70659551024437,6.616065185132707,25.0,11.0,0.44,14.0,0.56,25.0
34.0,23.0,7.956686913967133,6.646390514847714,23.0,13.0,0.5652173913043478,10.0,0.43478260869565216,23.0
35.0,22.0,7.289450466632843,6.674561391814454,22.0,10.0,0.45454545454545453,12.0,0.5454545454545454,22.0
