Episode,sum_rewwards,loss,entropy,paso_episodio,c_exploracion,p_exploracion,c_explotacion,p_explotacion,duration
0.0,16.0,0.0,0.0,16.0,14.0,0.875,2.0,0.125,16.0
1.0,15.0,0.0,0.0,15.0,13.0,0.8666666666666667,2.0,0.13333333333333333,15.0
2.0,15.0,0.0,0.0,15.0,14.0,0.9333333333333333,1.0,0.06666666666666667,15.0
3.0,15.0,0.0,0.0,15.0,12.0,0.8,3.0,0.2,15.0
4.0,20.0,9.160688519477844,4.394449154672432,20.0,15.0,0.75,5.0,0.25,20.0
5.0,13.0,6.340501636266708,4.543294782270009,13.0,12.0,0.9230769230769231,1.0,0.07692307692307693,13.0
6.0,14.0,6.574588507413864,4.682131227124217,14.0,12.0,0.8571428571428571,2.0,0.14285714285714285,14.0
7.0,20.0,8.929801255464554,4.852030263919617,20.0,13.0,0.65,7.0,0.35,20.0
8.0,13.0,5.525862097740173,4.94875989037817,13.0,10.0,0.7692307692307693,3.0,0.23076923076923078,13.0
9.0,13.0,5.25560736656189,5.036952602413614,13.0,10.0,0.7692307692307693,3.0,0.23076923076923078,13.0
10.0,18.0,6.855510771274567,5.147494476813442,18.0,15.0,0.8333333333333334,3.0,0.16666666666666666,18.0
11.0,23.0,8.306187093257904,5.27299955856375,23.0,17.0,0.7391304347826086,6.0,0.2608695652173913,23.0
12.0,11.0,3.6249327659606934,5.327876168789585,11.0,7.0,0.6363636363636364,4.0,0.36363636363636365,11.0
13.0,11.0,3.4259638488292694,5.379897353540455,11.0,8.0,0.7272727272727273,3.0,0.2727272727272727,11.0
14.0,11.0,3.2274639904499054,5.429345628954409,11.0,8.0,0.7272727272727273,3.0,0.2727272727272727,11.0
15.0,27.0,7.441218256950378,5.541263545158449,27.0,19.0,0.7037037037037037,8.0,0.2962962962962963,27.0
16.0,17.0,4.184118255972862,5.605802066296009,17.0,14.0,0.8235294117647058,3.0,0.17647058823529413,17.0
17.0,19.0,4.198039948940277,5.6733232671715275,19.0,13.0,0.6842105263157895,6.0,0.3157894736842105,19.0
18.0,12.0,2.293786406517029,5.713732805509337,12.0,7.0,0.5833333333333334,5.0,0.4166666666666667,12.0
19.0,14.0,2.622415468096733,5.758901773877267,14.0,10.0,0.7142857142857143,4.0,0.2857142857142857,14.0
20.0,13.0,2.2643915116786957,5.7990926544605,13.0,11.0,0.8461538461538461,2.0,0.15384615384615385,13.0
21.0,27.0,4.20413601398468,5.8777357817796725,27.0,21.0,0.7777777777777778,6.0,0.2222222222222222,27.0
22.0,13.0,1.8354494273662567,5.913503005638225,13.0,5.0,0.38461538461538464,8.0,0.6153846153846154,13.0
23.0,11.0,1.5743000954389572,5.942799375126674,11.0,7.0,0.6363636363636364,4.0,0.36363636363636365,11.0
24.0,14.0,1.8804326355457306,5.978885764901178,14.0,10.0,0.7142857142857143,4.0,0.2857142857142857,14.0
25.0,27.0,3.379253529012203,6.045005314035971,27.0,19.0,0.7037037037037037,8.0,0.2962962962962963,27.0
26.0,12.0,1.479169100522995,6.073044534100379,12.0,4.0,0.3333333333333333,8.0,0.6666666666666666,12.0
27.0,26.0,3.122043840587139,6.131226489483087,26.0,16.0,0.6153846153846154,10.0,0.38461538461538464,26.0
28.0,11.0,1.2954009771347046,6.1548580940164195,11.0,8.0,0.7272727272727273,3.0,0.2727272727272727,11.0
29.0,15.0,1.7084172293543816,6.186208623900482,15.0,8.0,0.5333333333333333,7.0,0.4666666666666667,15.0
30.0,9.0,1.056107647716999,6.2045577625687205,9.0,6.0,0.6666666666666666,3.0,0.3333333333333333,9.0
31.0,8.0,0.9613557755947113,6.220590170099732,8.0,4.0,0.5,4.0,0.5,8.0
32.0,14.0,1.6930727511644363,6.248042874508358,14.0,8.0,0.5714285714285714,6.0,0.42857142857142855,14.0
33.0,12.0,1.3971828892827034,6.270988431858289,12.0,5.0,0.4166666666666667,7.0,0.5833333333333334,12.0
