Episode,sum_rewwards,loss,entropy,paso_episodio,c_exploracion,p_exploracion,c_explotacion,p_explotacion,duration
0.0,20.0,0.0,0.0,20.0,20.0,1.0,0.0,0.0,20.0
1.0,23.0,0.0,0.0,23.0,19.0,0.8260869565217391,4.0,0.17391304347826086,23.0
2.0,19.0,0.0,0.0,19.0,15.0,0.7894736842105263,4.0,0.21052631578947367,19.0
3.0,12.0,6.410660982131958,4.304065093204169,12.0,8.0,0.6666666666666666,4.0,0.3333333333333333,12.0
4.0,31.0,16.70681592822075,4.653960350157524,31.0,25.0,0.8064516129032258,6.0,0.1935483870967742,31.0
5.0,19.0,9.176387906074524,4.820281565605036,19.0,17.0,0.8947368421052632,2.0,0.10526315789473684,19.0
6.0,16.0,6.928526222705841,4.941642422609306,16.0,14.0,0.875,2.0,0.125,16.0
7.0,12.0,4.904670923948288,5.0238805208462765,12.0,10.0,0.8333333333333334,2.0,0.16666666666666666,12.0
8.0,15.0,5.583666265010834,5.1179938124167546,15.0,13.0,0.8666666666666667,2.0,0.13333333333333333,15.0
9.0,14.0,4.817250162363052,5.198497031265827,14.0,10.0,0.7142857142857143,4.0,0.2857142857142857,14.0
10.0,13.0,4.074271857738495,5.267858159063328,13.0,7.0,0.5384615384615384,6.0,0.46153846153846156,13.0
11.0,21.0,6.14410674571991,5.370638028127663,21.0,13.0,0.6190476190476191,8.0,0.38095238095238093,21.0
12.0,35.0,8.615308672189713,5.521460917862246,35.0,29.0,0.8285714285714286,6.0,0.17142857142857143,35.0
13.0,15.0,3.0790490210056305,5.579729825986222,15.0,10.0,0.6666666666666666,5.0,0.3333333333333333,15.0
14.0,23.0,4.019387409090996,5.662960480135947,23.0,19.0,0.8260869565217391,4.0,0.17391304347826086,23.0
15.0,22.0,3.2771206349134445,5.736572297479192,22.0,18.0,0.8181818181818182,4.0,0.18181818181818182,22.0
16.0,31.0,3.9697368890047073,5.831882477283518,31.0,22.0,0.7096774193548387,9.0,0.2903225806451613,31.0
17.0,21.0,2.2856253683567047,5.8916442118257715,21.0,16.0,0.7619047619047619,5.0,0.23809523809523808,21.0
18.0,18.0,1.710563138127327,5.940171252720432,18.0,15.0,0.8333333333333334,3.0,0.16666666666666666,18.0
19.0,23.0,2.05628914386034,5.998936561946681,23.0,15.0,0.6521739130434783,8.0,0.34782608695652173,23.0
20.0,19.0,1.5479901991784573,6.045005314036015,19.0,9.0,0.47368421052631576,10.0,0.5263157894736842,19.0
21.0,9.0,0.6353831887245178,6.066108090103748,9.0,6.0,0.6666666666666666,3.0,0.3333333333333333,9.0
22.0,14.0,0.9968218803405762,6.098074282166241,14.0,10.0,0.7142857142857143,4.0,0.2857142857142857,14.0
23.0,12.0,0.9012903943657875,6.124683390894204,12.0,6.0,0.5,6.0,0.5,12.0
24.0,12.0,0.9892540387809277,6.150602768446278,12.0,5.0,0.4166666666666667,7.0,0.5833333333333334,12.0
25.0,12.0,1.0769726186990738,6.17586727010576,12.0,8.0,0.6666666666666666,4.0,0.3333333333333333,12.0
26.0,22.0,1.7015637941658497,6.2205901700997375,22.0,12.0,0.5454545454545454,10.0,0.45454545454545453,22.0
27.0,10.0,0.7397121489048004,6.240275845170769,10.0,4.0,0.4,6.0,0.6,10.0
28.0,9.0,0.7307441122829914,6.257667587882639,9.0,4.0,0.4444444444444444,5.0,0.5555555555555556,9.0
29.0,22.0,1.7231522761285305,6.298949246855942,22.0,12.0,0.5454545454545454,10.0,0.45454545454545453,22.0
30.0,14.0,1.068428909406066,6.324358962381312,14.0,8.0,0.5714285714285714,6.0,0.42857142857142855,14.0
31.0,22.0,2.2053194120526314,6.363028103540465,22.0,9.0,0.4090909090909091,13.0,0.5909090909090909,22.0
32.0,11.0,1.0335506051778793,6.381816017406099,11.0,5.0,0.45454545454545453,6.0,0.5454545454545454,11.0
33.0,12.0,0.918944988399744,6.401917196727187,12.0,5.0,0.4166666666666667,7.0,0.5833333333333334,12.0
34.0,20.0,1.934779092669487,6.434546518787451,20.0,12.0,0.6,8.0,0.4,20.0
35.0,36.0,3.1984534971415997,6.490723534502507,36.0,17.0,0.4722222222222222,19.0,0.5277777777777778,36.0
36.0,18.0,2.05133144184947,6.517671272912275,18.0,10.0,0.5555555555555556,8.0,0.4444444444444444,18.0
37.0,11.0,1.2656558975577354,6.533788837933345,11.0,6.0,0.5454545454545454,5.0,0.45454545454545453,11.0
38.0,14.0,1.4893588200211525,6.553933404025812,14.0,8.0,0.5714285714285714,6.0,0.42857142857142855,14.0
